,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
731,?refer=match&param=1365&GET_CAT=1,ALLEMAGNE,1986-06-15,KARLSRUHE,Amical,15/06/1986 à KARLSRUHE  (Allemagne),True,100,99,47.0,53.0,1986,Amical
732,?refer=match&param=1366&GET_CAT=1,TCHECOSLOVAQUIE,1986-06-16,KARLSRUHE,Amical,16/06/1986 à KARLSRUHE  (Allemagne),True,113,87,60.0,43.0,1986,Amical
733,?refer=match&param=1367&GET_CAT=1,URSS,1986-06-21,SAINT-SEBASTIEN,Amical,21/06/1986 à SAINT-SEBASTIEN  (Espagne),False,107,100,54.0,50.0,1986,Amical
734,?refer=match&param=1368&GET_CAT=1,ETATS-UNIS,1986-06-30,PARIS,Amical,30/06/1986 à PARIS  (France),True,98,83,54.0,49.0,1986,Amical
735,?refer=match&param=1369&GET_CAT=1,ARGENTINE,1986-07-01,LYON,Amical,01/07/1986 à LYON  (France),False,82,81,38.0,40.0,1986,Amical
736,?refer=match&param=1370&GET_CAT=1,URUGUAY,1986-07-02,LYON,Amical,02/07/1986 à LYON  (France),True,102,73,42.0,38.0,1986,Amical
737,?refer=match&param=1875&GET_CAT=1,ESPAGNE,1986-07-05,SARAGOSSE,Championnat du Monde,05/07/1986 à SARAGOSSE  (Espagne),False,84,80,45.0,50.0,1986,Championnat du Monde 1986
738,?refer=match&param=1876&GET_CAT=1,GRECE,1986-07-06,SARAGOSSE,Championnat du Monde,06/07/1986 à SARAGOSSE  (Espagne),False,87,84,53.0,39.0,1986,Championnat du Monde 1986
739,?refer=match&param=1877&GET_CAT=1,BRESIL,1986-07-08,SARAGOSSE,Championnat du Monde,08/07/1986 à SARAGOSSE  (Espagne),True,93,85,46.0,41.0,1986,Championnat du Monde 1986
740,?refer=match&param=1878&GET_CAT=1,COREE DU SUD,1986-07-09,SARAGOSSE,Championnat du Monde,09/07/1986 à SARAGOSSE  (Espagne),True,101,84,49.0,43.0,1986,Championnat du Monde 1986
741,?refer=match&param=1879&GET_CAT=1,PANAMA,1986-07-10,SARAGOSSE,Championnat du Monde,10/07/1986 à SARAGOSSE  (Espagne),True,91,88,50.0,48.0,1986,Championnat du Monde 1986
742,?refer=match&param=1371&GET_CAT=1,BRESIL,1986-12-27,PARIS,Amical,27/12/1986 à PARIS  (France),True,89,86,52.0,33.0,1986,Amical
743,?refer=match&param=1372&GET_CAT=1,SERBIE,1986-12-28,PARIS,Amical,28/12/1986 à PARIS  (France),True,111,105,56.0,52.0,1986,Amical
744,?refer=match&param=1373&GET_CAT=1,ITALIE,1987-05-16,CHIETI,Amical,16/05/1987 à CHIETI  (Italie),True,77,74,28.0,37.0,1987,Amical
745,?refer=match&param=1374&GET_CAT=1,ISRAEL,1987-05-22,AMSTERDAM,Amical,22/05/1987 à AMSTERDAM  (Pays-Bas),False,93,90,42.0,43.0,1987,Amical
746,?refer=match&param=1375&GET_CAT=1,PAYS-BAS,1987-05-23,AMSTERDAM,Amical,23/05/1987 à AMSTERDAM  (Pays-Bas),True,93,82,46.0,41.0,1987,Amical
747,?refer=match&param=1376&GET_CAT=1,ROUMANIE,1987-05-24,AMSTERDAM,Amical,24/05/1987 à AMSTERDAM  (Pays-Bas),True,99,86,58.0,47.0,1987,Amical
748,?refer=match&param=1377&GET_CAT=1,TCHECOSLOVAQUIE,1987-05-26,BRATISLAVA,Amical,26/05/1987 à BRATISLAVA  (Slovaquie),False,95,93,65.0,49.0,1987,Amical
749,?refer=match&param=1378&GET_CAT=1,HONGRIE,1987-05-27,BRATISLAVA,Amical,27/05/1987 à BRATISLAVA  (Slovaquie),True,98,83,46.0,46.0,1987,Amical
750,?refer=match&param=1379&GET_CAT=1,ISRAEL,1987-06-01,TEL AVIV,Amical,01/06/1987 à TEL AVIV  (Israël),False,83,71,52.0,31.0,1987,Amical
751,?refer=match&param=1727&GET_CAT=1,ESPAGNE,1987-06-03,ATHENES,Championnat d'Europe,03/06/1987 à ATHENES  (Grèce),False,111,70,48.0,34.0,1987,Championnat d'Europe 1987
752,?refer=match&param=1728&GET_CAT=1,URSS,1987-06-04,ATHENES,Championnat d'Europe,04/06/1987 à ATHENES  (Grèce),False,107,78,55.0,37.0,1987,Championnat d'Europe 1987
753,?refer=match&param=1729&GET_CAT=1,SERBIE,1987-06-05,ATHENES,Championnat d'Europe,05/06/1987 à ATHENES  (Grèce),False,88,83,50.0,46.0,1987,Championnat d'Europe 1987
754,?refer=match&param=1730&GET_CAT=1,ROUMANIE,1987-06-06,ATHENES,Championnat d'Europe,06/06/1987 à ATHENES  (Grèce),True,95,83,46.0,47.0,1987,Championnat d'Europe 1987
755,?refer=match&param=1731&GET_CAT=1,GRECE,1987-06-07,ATHENES,Championnat d'Europe,07/06/1987 à ATHENES  (Grèce),False,82,69,38.0,38.0,1987,Championnat d'Europe 1987
756,?refer=match&param=1732&GET_CAT=1,ISRAEL,1987-06-09,ATHENES,Championnat d'Europe,09/06/1987 à ATHENES  (Grèce),True,96,93,44.0,50.0,1987,Championnat d'Europe 1987
